path,url,title,h1,char_count,under_5000,broken_link_count,broken_links,dna_complete,dna_missing,duplicate_candidates,final_status,priority
articles/ai-side-hustles-beginner.html,https://savingio.com/articles/ai-side-hustles-beginner.html,"초보자를 위한 AI 부업 시작 방법, 첫 수익까지 현실적인 순서 | Savingio","초보자를 위한 AI 부업 시작 방법, 첫 수익까지 현실적인 순서",7074,False,3,"[""/articles/car-insurance-low-mileage-discount.html"", ""/articles/fuel-saving-driving-habits.html"", ""/categories/side-income.html""]",True,[],[],깨진 링크,P0
articles/air-conditioner-electricity-saving.html,https://savingio.com/articles/air-conditioner-electricity-saving.html,"에어컨 전기요금 줄이는 방법, 우리 집에 맞는 냉방 순서 | Savingio","에어컨 전기요금 줄이는 방법, 우리 집에 맞는 냉방 순서",6780,False,2,"[""/articles/car-insurance-low-mileage-discount.html"", ""/articles/fuel-saving-driving-habits.html""]",False,"[""목차""]",[],깨진 링크,P0
articles/aircon-dry-mode-electricity.html,https://savingio.com/articles/aircon-dry-mode-electricity.html,"에어컨 제습모드 전기요금, 냉방보다 정말 덜 나올까? | Savingio","에어컨 제습모드 전기요금, 냉방보다 정말 덜 나올까?",4717,True,0,[],True,[],[],5천자 미달,P2
articles/aircon-filter-cleaning-savings.html,https://savingio.com/articles/aircon-filter-cleaning-savings.html,"에어컨 필터 청소로 전기요금 줄이는 방법, 냉방이 약할 때 확인 순서 | Savingio","에어컨 필터 청소로 전기요금 줄이는 방법, 냉방이 약할 때 확인 순서",7657,False,2,"[""/articles/car-insurance-low-mileage-discount.html"", ""/articles/fuel-saving-driving-habits.html""]",False,"[""목차""]",[],깨진 링크,P0
articles/aircon-optimal-temperature-savings.html,https://savingio.com/articles/aircon-optimal-temperature-savings.html,에어컨 적정 온도는 몇 도일까? 전기요금과 쾌적함을 함께 잡는 설정 순서 | Savingio,에어컨 적정 온도는 몇 도일까? 전기요금과 쾌적함을 함께 잡는 설정 순서,4211,True,0,[],True,[],[],5천자 미달,P2
articles/apartment-leak-emergency-response.html,https://savingio.com/articles/apartment-leak-emergency-response.html,"아랫집 누수 연락을 받았을 때, 윗집이 바로 할 일 | 세이빙이오","아랫집 누수 연락을 받았을 때, 윗집이 바로 할 일",6699,False,4,"[""/articles/home-insurance-coverage-check.html"", ""/articles/insurance-claim-documents.html"", ""/articles/tenant-landlord-repair-responsibility.html"", ""/categories/housing-maintenance.html""]",True,[],[],깨진 링크,P0
articles/apartment-management-fee-summer.html,https://savingio.com/articles/apartment-management-fee-summer.html,아파트 관리비가 갑자기 많이 나왔을 때 확인할 항목과 줄이는 방법 | Savingio,아파트 관리비가 갑자기 많이 나왔을 때 확인할 항목과 줄이는 방법,5983,False,0,[],False,"[""목차""]",[],정상,P3
articles/automatic-payment-saving.html,https://savingio.com/articles/automatic-payment-saving.html,"자동이체·자동결제 정리하는 방법, 매달 새는 고정비 찾기 | Savingio","자동이체·자동결제 정리하는 방법, 매달 새는 고정비 찾기",6466,False,1,"[""/articles/bank-fees-to-avoid.html""]",False,"[""30초""]",[],깨진 링크,P0
articles/bank-account-budgeting.html,https://savingio.com/articles/bank-account-budgeting.html,"통장 나누기로 예산 관리하기, 월급날부터 자동으로 돈을 나누는 방법 | Savingio","통장 나누기로 예산 관리하기, 월급날부터 자동으로 돈을 나누는 방법",6979,False,1,"[""/articles/bank-fees-to-avoid.html""]",False,"[""목차""]",[],깨진 링크,P0
articles/bank-fee-saving.html,https://savingio.com/articles/bank-fee-saving.html,"은행 수수료 아끼는 방법, 이체·ATM·환전 비용을 줄이는 확인 순서 | Savingio","은행 수수료 아끼는 방법, 이체·ATM·환전 비용을 줄이는 확인 순서",5118,False,1,"[""/articles/bank-fees-to-avoid.html""]",False,"[""목차""]",[],깨진 링크,P0
articles/basic-livelihood-discounts.html,https://savingio.com/articles/basic-livelihood-discounts.html,"기초생활수급자 생활요금 감면 신청 방법, 전기·가스·통신 할인 확인 | Savingio","기초생활수급자 생활요금 감면 신청 방법, 전기·가스·통신 할인 확인",4580,True,1,"[""/articles/basic-livelihood-benefit-check.html""]",True,[],[],5천자 미달 / 깨진 링크,P0
articles/basic-pension-application-guide.html,https://savingio.com/articles/basic-pension-application-guide.html,"기초연금 신청 방법, 만 65세 준비서류·소득인정액·지급 확인 | Savingio","기초연금 신청 방법, 만 65세 준비서류·소득인정액·지급 확인",7896,False,2,"[""/articles/basic-pension-eligibility.html"", ""/articles/national-pension-guide.html""]",True,[],[],깨진 링크,P0
articles/beginner-budget-plan.html,https://savingio.com/articles/beginner-budget-plan.html,"초보자를 위한 예산 계획, 월급이 어디로 사라지는지 찾는 순서 | Savingio","초보자를 위한 예산 계획, 월급이 어디로 사라지는지 찾는 순서",5987,False,0,[],True,[],[],완료,DONE
articles/beginner-money-management.html,https://savingio.com/articles/beginner-money-management.html,"처음 시작하는 돈 관리 방법, 월급을 지키는 순서 | Savingio","처음 시작하는 돈 관리 방법, 월급을 지키는 순서",5292,False,0,[],True,[],[],완료,DONE
articles/benefit-scam-warning-2026.html,https://savingio.com/articles/benefit-scam-warning-2026.html,"지원금 문자 사기 구별 방법, 링크 누르기 전 확인할 7가지 | Savingio","지원금 문자 사기 구별 방법, 링크 누르기 전 확인할 7가지",9284,False,0,[],False,"[""목차""]","[{""path"": ""articles/government-benefits-warning.html"", ""score"": 0.7282}]",중복 의심,P1
articles/budget-app-guide.html,https://savingio.com/articles/budget-app-guide.html,"가계부 앱 고르는 방법, 자동연동보다 중요한 기준 | Savingio","가계부 앱 고르는 방법, 자동연동보다 중요한 기준",6076,False,1,"[""/calculators/monthly-budget.html""]",True,[],[],깨진 링크,P0
articles/building-land-property-tax.html,https://savingio.com/articles/building-land-property-tax.html,"건축물 재산세와 토지 재산세 차이, 고지서 두 장이 왔을 때 확인 순서 | Savingio","건축물 재산세와 토지 재산세 차이, 고지서 두 장이 왔을 때 확인 순서",4677,True,0,[],True,[],[],5천자 미달,P2
articles/business-card-hometax-registration.html,https://savingio.com/articles/business-card-hometax-registration.html,"사업용 신용카드 홈택스 등록 방법, 등록 뒤 매입내역까지 확인하는 순서 | Savingio","사업용 신용카드 홈택스 등록 방법, 등록 뒤 매입내역까지 확인하는 순서",5183,False,0,[],True,[],[],완료,DONE
articles/business-closure-vat-order.html,https://savingio.com/articles/business-closure-vat-order.html,"사업자 폐업신고와 부가세 신고 순서, 폐업일 전후로 놓치기 쉬운 절차 | Savingio","사업자 폐업신고와 부가세 신고 순서, 폐업일 전후로 놓치기 쉬운 절차",4697,True,0,[],True,[],[],5천자 미달,P2
articles/business-phone-expense-deduction.html,https://savingio.com/articles/business-phone-expense-deduction.html,"사업자 통신비 비용처리 기준, 휴대전화 요금과 단말기 증빙 정리 | Savingio","사업자 통신비 비용처리 기준, 휴대전화 요금과 단말기 증빙 정리",3710,True,0,[],True,[],[],5천자 미달,P2
articles/business-vehicle-expense-basics.html,https://savingio.com/articles/business-vehicle-expense-basics.html,"사업용 차량 비용처리, 증빙부터 운행기록부까지 확인하는 순서 | Savingio","사업용 차량 비용처리, 증빙부터 운행기록부까지 확인하는 순서",5920,False,1,"[""/articles/bank-fees-to-avoid.html""]",True,[],[],깨진 링크,P0
articles/cancel-unused-subscriptions.html,https://savingio.com/articles/cancel-unused-subscriptions.html,"안 쓰는 구독서비스 해지하는 방법, 무료체험부터 자동결제까지 | Savingio","안 쓰는 구독서비스 해지하는 방법, 무료체험부터 자동결제까지",6958,False,1,"[""/articles/bank-fees-to-avoid.html""]",False,"[""30초""]",[],깨진 링크,P0
articles/car-aircon-fuel-saving.html,https://savingio.com/articles/car-aircon-fuel-saving.html,"여름철 자동차 에어컨 연비 절약법, 차 안을 빨리 식히는 순서 | Savingio","여름철 자동차 에어컨 연비 절약법, 차 안을 빨리 식히는 순서",7212,False,4,"[""/articles/bank-fees-to-avoid.html"", ""/articles/car-insurance-low-mileage-discount.html"", ""/articles/car-tire-pressure-fuel-efficiency.html"", ""/articles/fuel-saving-driving-habits.html""]",False,"[""목차""]",[],깨진 링크,P0
articles/car-insurance-child-discount.html,https://savingio.com/articles/car-insurance-child-discount.html,"자동차보험 자녀할인 특약, 태아·연령·증빙·중도변경 확인 가이드 | Savingio","자동차보험 자녀할인 특약, 태아·연령·증빙·중도변경 확인 가이드",6392,False,0,[],True,[],[],완료,DONE
articles/car-insurance-mileage-refund.html,https://savingio.com/articles/car-insurance-mileage-refund.html,"자동차보험 마일리지 특약 환급, 사진 등록·주행거리·정산 확인 가이드 | Savingio","자동차보험 마일리지 특약 환급, 사진 등록·주행거리·정산 확인 가이드",7145,False,0,[],True,[],[],완료,DONE
articles/car-insurance-overpayment-refund.html,https://savingio.com/articles/car-insurance-overpayment-refund.html,"자동차보험료를 더 냈을 때, 과납보험료 확인부터 환급까지 | Savingio","자동차보험료를 더 냈을 때, 과납보험료 확인부터 환급까지",7379,False,0,[],True,[],[],완료,DONE
articles/car-insurance-saving.html,https://savingio.com/articles/car-insurance-saving.html,"자동차보험료 절약, 갱신 전에 비교할 운전자 범위·특약·담보 최종 가이드 | Savingio","자동차보험료 절약, 갱신 전에 비교할 운전자 범위·특약·담보 최종 가이드",4684,True,0,[],True,[],[],5천자 미달,P2
articles/car-tax-annual-payment.html,https://savingio.com/articles/car-tax-annual-payment.html,"2026 자동차세 연납, 신청 시기·5% 공제·환급 확인 가이드 | Savingio","2026 자동차세 연납, 신청 시기·5% 공제·환급 확인 가이드",4462,True,0,[],True,[],[],5천자 미달,P2
articles/car-tax-check-payment-guide.html,https://savingio.com/articles/car-tax-check-payment-guide.html,"자동차세 조회·납부, 고지서 없이 체납·환급까지 확인하는 가이드 | Savingio","자동차세 조회·납부, 고지서 없이 체납·환급까지 확인하는 가이드",4557,True,0,[],True,[],[],5천자 미달,P2
articles/card-points-cashback-guide.html,https://savingio.com/articles/card-points-cashback-guide.html,"카드 포인트와 캐시백 활용법, 혜택보다 먼저 확인할 것 | Savingio","카드 포인트와 캐시백 활용법, 혜택보다 먼저 확인할 것",3322,True,0,[],False,"[""목차""]",[],5천자 미달,P2
articles/cash-advance-vs-card-loan.html,https://savingio.com/articles/cash-advance-vs-card-loan.html,"현금서비스와 카드론 차이, 급하게 돈이 필요할 때 먼저 확인할 것 | Savingio","현금서비스와 카드론 차이, 급하게 돈이 필요할 때 먼저 확인할 것",3472,True,1,"[""/articles/credit-score-management.html""]",False,"[""목차""]",[],5천자 미달 / 깨진 링크,P0
articles/cash-out-card-points.html,https://savingio.com/articles/cash-out-card-points.html,"카드 포인트 현금화 방법, 흩어진 포인트를 계좌로 받는 순서 | Savingio","카드 포인트 현금화 방법, 흩어진 포인트를 계좌로 받는 순서",5555,False,2,"[""/articles/credit-card-annual-fee-check.html"", ""/articles/dormant-account-find.html""]",True,[],[],깨진 링크,P0
articles/cashback-apps-guide.html,https://savingio.com/articles/cashback-apps-guide.html,"캐시백 앱 활용 가이드, 적립보다 먼저 확인할 것 | Savingio","캐시백 앱 활용 가이드, 적립 금액보다 먼저 확인할 것",7263,False,0,[],False,"[""목차""]",[],정상,P3
articles/check-hidden-refunds.html,https://savingio.com/articles/check-hidden-refunds.html,미수령 환급금 조회 방법 | Savingio,미수령 환급금 조회 방법,8394,False,3,"[""/articles/health-insurance-overpayment-refund.html"", ""/articles/hidden-money-search.html"", ""/categories/refund-insurance.html""]",False,"[""목차""]",[],깨진 링크,P0
articles/child-allowance-guide.html,https://savingio.com/articles/child-allowance-guide.html,"아동수당 신청 방법, 지급이 누락되지 않게 확인하는 체크리스트 | Savingio","아동수당 신청 방법, 지급이 누락되지 않게 확인하는 체크리스트",4709,True,5,"[""/articles/bank-fees-to-avoid.html"", ""/categories/banking.html"", ""/categories/communication.html"", ""/categories/insurance.html"", ""/categories/utility-bills.html""]",False,"[""목차""]",[],5천자 미달 / 깨진 링크,P0
articles/child-tax-credit-status-check.html,https://savingio.com/articles/child-tax-credit-status-check.html,"자녀장려금 심사결과 확인 방법, 지급액과 감액 사유 보는 순서 | Savingio","자녀장려금 심사결과 확인 방법, 지급액과 감액 사유 보는 순서",6173,False,4,"[""/articles/grocery-bill-savings.html"", ""/articles/phone-bill-saving.html"", ""/calculators/annual-income.html"", ""/categories/government-benefits.html""]",False,"[""목차""]",[],깨진 링크,P0
