normalized_path,target_type,reference_count,article_count,source_articles
/articles/car-insurance-low-mileage-discount.html,article,5,5,articles/ai-side-hustles-beginner.html | articles/air-conditioner-electricity-saving.html | articles/aircon-filter-cleaning-savings.html | articles/car-aircon-fuel-saving.html | articles/earned-income-credit-payment.html
/articles/fuel-saving-driving-habits.html,article,5,5,articles/ai-side-hustles-beginner.html | articles/air-conditioner-electricity-saving.html | articles/aircon-filter-cleaning-savings.html | articles/car-aircon-fuel-saving.html | articles/earned-income-credit-payment.html
/calculators/monthly-budget.html,calculator,3,3,articles/budget-app-guide.html | articles/childcare-service-government-support.html | articles/spending-habits-change.html
/categories/utility-bills.html,category,3,3,articles/child-allowance-guide.html | articles/electricity-bill-saving.html | articles/gas-bill-checklist.html
/categories/insurance.html,category,3,3,articles/child-allowance-guide.html | articles/daily-liability-leak-insurance.html | articles/insurance-auto-pay-discount.html
/categories/living-cost.html,category,3,3,articles/electricity-bill-easy-calculator-guide.html | articles/electricity-bill-saving.html | articles/summer-electricity-tier-check-2026.html
/categories/household-budget.html,category,3,3,articles/impulse-buying-control.html | articles/spending-habits-change.html | articles/summer-vacation-budget-plan.html
/articles/loan-interest-reduction-request.html,article,3,3,articles/loan-prepayment-fee-check.html | articles/loan-refinancing-check.html | articles/overdraft-account-guide.html
/categories/benefits.html,category,2,2,articles/childcare-service-government-support.html | articles/earned-income-credit-payment.html
/categories/finance.html,category,2,2,articles/earned-income-credit-payment.html | articles/parking-account-rate-comparison.html
/articles/education-expense-tax-credit.html,article,2,2,articles/lifelong-education-voucher-application.html | articles/national-scholarship-application.html
/articles/irs-tax-refund-status.html,article,2,2,articles/monthly-rent-tax-credit-documents.html | articles/national-tax-refund-account.html
/articles/property-tax-overpayment-refund.html,article,2,2,articles/property-tax-objection-guide.html | articles/property-tax-payment-certificate.html
/categories/side-income.html,category,1,1,articles/ai-side-hustles-beginner.html
/categories/housing-maintenance.html,category,1,1,articles/apartment-leak-emergency-response.html
/articles/home-insurance-coverage-check.html,article,1,1,articles/apartment-leak-emergency-response.html
/articles/insurance-claim-documents.html,article,1,1,articles/apartment-leak-emergency-response.html
/articles/tenant-landlord-repair-responsibility.html,article,1,1,articles/apartment-leak-emergency-response.html
/articles/basic-livelihood-benefit-check.html,article,1,1,articles/basic-livelihood-discounts.html
/articles/basic-pension-eligibility.html,article,1,1,articles/basic-pension-application-guide.html
/articles/national-pension-guide.html,article,1,1,articles/basic-pension-application-guide.html
/articles/car-tire-pressure-fuel-efficiency.html,article,1,1,articles/car-aircon-fuel-saving.html
/articles/credit-card-annual-fee-check.html,article,1,1,articles/cash-out-card-points.html
/articles/dormant-account-find.html,article,1,1,articles/cash-out-card-points.html
/categories/refund-insurance.html,category,1,1,articles/check-hidden-refunds.html
/categories/banking.html,category,1,1,articles/child-allowance-guide.html
/categories/communication.html,category,1,1,articles/child-allowance-guide.html
/calculators/annual-income.html,calculator,1,1,articles/child-tax-credit-status-check.html
/categories/government-benefits.html,category,1,1,articles/child-tax-credit-status-check.html
/calculators/childcare-cost.html,calculator,1,1,articles/childcare-service-government-support.html
/categories/education-childcare.html,category,1,1,articles/childcare-service-government-support.html
/categories/household.html,category,1,1,articles/childcare-service-government-support.html
/articles/high-interest-savings-account.html,article,1,1,articles/cma-account-types-risk.html
/articles/bank-deposit-protection-limit.html,article,1,1,articles/cma-account-types-risk.html
/articles/financial-product-comparison-guide.html,article,1,1,articles/cma-account-types-risk.html
/articles/credit-card-interest-free-installment-guide.html,article,1,1,articles/credit-card-billing-cycle-guide.html
/articles/credit-card-annual-fee-refund.html,article,1,1,articles/credit-card-billing-cycle-guide.html
/articles/credit-card-limit-management.html,article,1,1,articles/credit-score-habits.html
/articles/debt-repayment-order.html,article,1,1,articles/credit-score-habits.html
/articles/card-payment-date-guide.html,article,1,1,articles/credit-score-habits.html
/articles/credit-information-check.html,article,1,1,articles/credit-score-habits.html
/categories/welfare-benefits.html,category,1,1,articles/culture-nuri-card-balance.html
/articles/home-fire-insurance-guide.html,article,1,1,articles/daily-liability-leak-insurance.html
/articles/standby-power-saving.html,article,1,1,articles/dehumidifier-electricity-saving.html
/articles/unclaimed-refund-check.html,article,1,1,articles/earned-income-tax-credit-korea.html
/categories/electricity-utility.html,category,1,1,articles/electricity-discount-card-guide.html
/articles/childcare-support-guide.html,article,1,1,articles/elementary-school-education-support.html
/articles/elementary-after-school-care.html,article,1,1,articles/elementary-school-education-support.html
/articles/child-care-service-guide.html,article,1,1,articles/elementary-school-education-support.html
/articles/household-budget-guide.html,article,1,1,articles/emergency-fund-guide.html
/articles/loan-interest-reduction-guide.html,article,1,1,articles/emergency-fund-guide.html
/articles/credit-card-revolving-guide.html,article,1,1,articles/emergency-fund-guide.html
/articles/debt-adjustment-guide.html,article,1,1,articles/emergency-fund-guide.html
/articles/unemployment-benefit-application.html,article,1,1,articles/emergency-welfare-living-support.html
/articles/utility-bill-support.html,article,1,1,articles/emergency-welfare-living-support.html
/categories/energy-saving.html,category,1,1,articles/fan-aircon-combination-saving.html
/articles/pregnancy-childbirth-medical-support.html,article,1,1,articles/first-meeting-voucher-guide.html
/articles/electricity-bill-childbirth-discount.html,article,1,1,articles/first-meeting-voucher-guide.html
/articles/diaper-formula-support-guide.html,article,1,1,articles/first-meeting-voucher-guide.html
/articles/maternity-leave-benefit.html,article,1,1,articles/first-meeting-voucher-guide.html
/articles/move-in-report-online.html,article,1,1,articles/fixed-date-online-application.html
/articles/jeonse-deposit-protection.html,article,1,1,articles/fixed-date-online-application.html
/articles/lease-contract-report.html,article,1,1,articles/fixed-date-online-application.html
/articles/registry-copy-check.html,article,1,1,articles/fixed-date-online-application.html
/articles/salary-statement-check-guide.html,article,1,1,articles/four-major-insurance-deduction-guide.html
/articles/salary-tax-deduction-guide.html,article,1,1,articles/four-major-insurance-deduction-guide.html
/articles/heating-cost-saving-guide.html,article,1,1,articles/gas-bill-checklist.html
/articles/energy-voucher-guide.html,article,1,1,articles/gas-bill-checklist.html
/articles/income-tax-refund-check.html,article,1,1,articles/hometax-refund-status.html
/articles/tax-refund-scam-warning.html,article,1,1,articles/hometax-refund-status.html
/calculators/vat-calculator.html,calculator,1,1,articles/hometax-vat-sales-check.html
/articles/housing-benefit-application.html,article,1,1,articles/housing-benefit-eligibility.html
/articles/energy-voucher-eligibility.html,article,1,1,articles/housing-benefit-eligibility.html
/articles/rent-tax-credit-guide.html,article,1,1,articles/housing-benefit-eligibility.html
/articles/heating-cost-support.html,article,1,1,articles/housing-benefit-eligibility.html
/articles/freelancer-income-tax-refund.html,article,1,1,articles/income-tax-filing-missed-consequences.html
/articles/mobile-plan-saving.html,article,1,1,articles/internet-bill-discount.html
/articles/subscription-audit.html,article,1,1,articles/internet-bill-discount.html
/articles/moving-cost-saving.html,article,1,1,articles/internet-bill-discount.html
/categories/electricity.html,category,1,1,articles/inverter-aircon-saving-guide.html
/articles/summer-electricity-bill-guide.html,article,1,1,articles/inverter-aircon-saving-guide.html
/articles/national-tomorrow-learning-card-guide.html,article,1,1,articles/lifelong-education-voucher-application.html
/articles/cultural-nuri-card-guide.html,article,1,1,articles/lifelong-education-voucher-application.html
/articles/government-benefit-check-guide.html,article,1,1,articles/lifelong-education-voucher-application.html
/articles/household-debt-repayment-plan.html,article,1,1,articles/loan-prepayment-fee-check.html
/categories/tax-benefits.html,category,1,1,articles/local-tax-refund-guide.html
/categories/insurance-health.html,category,1,1,articles/long-term-care-insurance-application.html
